,Unnamed: 0,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
798,799,Style Book: Junior City,DS,2006,Misc,Namco Bandai Games,0,0,20000,0
806,807,Theatrhythm Final Fantasy: Curtain Call,3DS,2014,Misc,Square Enix,130000,80000,150000,20000
809,810,Beastly,Wii,2011,Misc,Unknown,30000,0,0,0
815,816,Everybody Dance,PS3,2011,Misc,Sony Computer Entertainment,110000,0,0,10000
825,826,Interactive Sampler Disc 6,PS,1997,Misc,Sony Computer Entertainment,80000,50000,0,10000
857,858,Yamasa Digi Portable: Matsuri no Tatsujin - Win-Chan no Natsumatsuri,PSP,2006,Misc,Yamasa Entertainment,0,0,20000,0
858,859,Dragon Ball Heroes: Ultimate Mission,3DS,2013,Misc,Namco Bandai Games,0,0,290000,0
862,863,AC/DC LIVE: Rock Band Track Pack,X360,2008,Misc,MTV Games,210000,0,0,20000
863,864,BIT.TRIP SAGA,3DS,2011,Misc,Rising Star Games,90000,40000,0,10000
869,870,Jissen Pachi-Slot Hisshouhou! Hokuto no Ken 2,PS2,2007,Misc,Sega,0,0,30000,0
882,883,SingStar Motown,PS3,2009,Misc,Sony Computer Entertainment,0,160000,0,20000
892,893,Style Book: Cinnamoroll,DS,2006,Misc,Namco Bandai Games,0,0,10000,0
901,902,Wizards of Waverly Place: Spellbound,DS,2010,Misc,Disney Interactive Studios,160000,60000,0,20000
911,912,"Carnival Games: Monkey See, Monkey Do!",X360,2011,Misc,Take-Two Interactive,140000,160000,0,30000
916,917,Travel Games For Dummies,DS,2008,Misc,Electronic Arts,130000,0,0,10000
940,941,Jissen Pachi-Slot Hisshouhou! Aladdin II Evolution,PS2,2005,Misc,Sega,0,0,130000,0
944,945,We Sing Rock!,Wii,2011,Misc,Nordic Games,0,70000,0,10000
972,973,Smarty Pants,Wii,2007,Misc,Electronic Arts,530000,760000,0,160000
975,976,Rock Band Track Pack: Classic Rock,Wii,2009,Misc,MTV Games,220000,0,0,20000
980,981,LEGO Rock Band,X360,2009,Misc,Warner Bros. Interactive Entertainment,400000,120000,0,50000
987,988,Jampack Volume 14 (RP-T),PS2,2006,Misc,Sony Computer Entertainment,50000,40000,0,10000
1000,1001,Zumba Fitness Core,X360,2012,Misc,505 Games,0,60000,0,10000
1018,1019,"Ni Hao, Kai-lan: Super Game Day",Wii,2009,Misc,Take-Two Interactive,180000,0,0,10000
1020,1021,Pop'n Music Portable,PSP,2010,Misc,Konami Digital Entertainment,0,0,130000,0
1028,1029,Solitaire Overload Plus,DS,2010,Misc,Telegames,160000,0,0,10000
1042,1043,Rare Replay,XOne,2015,Misc,Microsoft Game Studios,470000,210000,10000,70000
1054,1055,My Street,PS2,2003,Misc,Sony Computer Entertainment,120000,90000,0,30000
1056,1057,Sing4: The Hits Edition,Wii,2011,Misc,Crave Entertainment,180000,0,0,10000
1066,1067,DX Game of Life,PS,1996,Misc,Takara,0,0,270000,20000
1083,1084,Neighborhood Games,Wii,2009,Misc,THQ,170000,20000,0,10000
1094,1095,SingStar Guitar,PS3,2010,Misc,Sony Computer Entertainment,0,80000,0,20000
1095,1096,Just Dance 4,X360,2012,Misc,Ubisoft,900000,200000,0,80000
1096,1097,Cook Wars,Wii,2009,Misc,Ubisoft,30000,0,0,0
1112,1113,California Speed,N64,1999,Misc,Midway Games,130000,30000,0,0
1130,1131,Planetarium Creator Ohira Takayuki Kanshuu: HomeStar Portable - 21st Century Star Navigator,PSP,2006,Misc,Sega,0,0,20000,0
1135,1136,Shonen Jump's One Piece: Pirates Carnival,GC,2005,Misc,Namco Bandai Games,60000,20000,0,0
1158,1159,CMT Presents: Karaoke Revolution Country,PS2,2006,Misc,Konami Digital Entertainment,30000,20000,0,10000
1159,1160,DJ Hero,PS3,2009,Misc,Activision,420000,340000,0,140000
1165,1166,Hisshou 777 Fighter: Pachi Slot Eiyu Densetsu,SNES,1994,Misc,Vap,0,0,50000,0
1168,1169,Tamagotchi Collection,DS,2011,Misc,Namco Bandai Games,0,0,150000,0
1169,1170,Pinball Hall of Fame: The Williams Collection,Wii,2008,Misc,System 3 Arcade Software,420000,30000,0,40000
1183,1184,Jissen Pachislot Hisshouhou! Hokuto no Ken DS,DS,2005,Misc,Sega,0,0,40000,0
1188,1189,Green Day: Rock Band,Wii,2010,Misc,MTV Games,220000,120000,0,30000
1195,1196,You Don't Know Jack,DS,2011,Misc,THQ,70000,0,0,10000
1202,1203,Let's Cheer,X360,2011,Misc,Take-Two Interactive,120000,0,0,10000
1207,1208,Caesars Palace II,PS,1998,Misc,Interplay,140000,90000,0,20000
1221,1222,Jissen Pachi-Slot Hisshouhou! Moujuu-Oh S,PS2,2002,Misc,Sammy Corporation,0,0,280000,0
1233,1234,QuickSpot,DS,2006,Misc,Namco Bandai Games,20000,0,130000,0
1244,1245,Sesame Street: Elmo's A-to-Zoo Adventure,Wii,2010,Misc,Warner Bros. Interactive Entertainment,370000,0,0,20000
1254,1255,Chuck E. Cheese's Playhouse,DS,2010,Misc,UFO Interactive,60000,0,0,0
1259,1260,Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,3060000,1120000,0,440000
1281,1282,Hole in the Wall: Deluxe Edition,X360,2011,Misc,Ubisoft,100000,0,0,10000
1291,1292,Just Dance 4,WiiU,2012,Misc,Ubisoft,220000,140000,0,30000
1313,1314,All Grown Up!: Game Boy Advance Video Volume 1,GBA,2004,Misc,unknown,170000,60000,0,0
1316,1317,Totally Spies! Totally Party,Wii,2008,Misc,Ubisoft,90000,10000,0,10000
1324,1325,Hello Kitty Party,DS,2007,Misc,Rising Star Games,790000,530000,0,130000
1342,1343,Shaberu! DS Oryouri Navi: Marugoto Teikoku Hotel: Saikouhou no Ryouri-chou ga Oshieru Katei Ryouri,DS,2007,Misc,Tecmo Koei,0,0,20000,0
1356,1357,Capcom Classics Collection,XB,2005,Misc,Capcom,110000,30000,0,10000
1371,1372,PaRappa The Rapper,PSP,2006,Misc,Sony Computer Entertainment,100000,0,20000,10000
1375,1376,2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,2005,Misc,Sega,40000,20000,0,0
1379,1380,Sound Novel Tsukuru,SNES,1996,Misc,ASCII Entertainment,0,0,80000,0
1380,1381,Mario Party Advance,GBA,2005,Misc,Nintendo,500000,190000,280000,20000
1383,1384,SingStar Take That,PS3,2009,Misc,Sony Computer Entertainment,0,300000,0,30000
1388,1389,Minna no DS Seminar: Kanpeki Kanji Ryoku,DS,2006,Misc,TDK Core,0,0,160000,0
1422,1423,Game Party 2,Wii,2008,Misc,Midway Games,1300000,440000,0,170000
1426,1427,Toy Story Mania!,Wii,2009,Misc,Disney Interactive Studios,1060000,670000,0,180000
1428,1429,Pokemon Art Academy,3DS,2014,Misc,Nintendo,180000,120000,160000,30000
1430,1431,Pop'n Music Portable 2,PSP,2011,Misc,Konami Digital Entertainment,0,0,60000,0
1437,1438,Nichibutsu Arcade Classics,SNES,1995,Misc,Nichibutsu,0,0,280000,0
1453,1454,The X-Factor,PS3,2010,Misc,Deep Silver,0,100000,0,30000
1484,1485,Midway's Greatest Arcade Hits,GBA,2001,Misc,Midway Games,180000,70000,0,0
1485,1486,Sesame Street: Elmo's Number Journey,PS,1998,Misc,NewKidCo,130000,90000,0,20000
1502,1503,Team Elimination Games,Wii,2009,Misc,Ubisoft,80000,0,0,10000
1510,1511,Simple 1500 Series Vol. 1: The Mahjong,PS,1998,Misc,D3Publisher,0,0,990000,70000
1533,1534,Stacked with Daniel Negreanu,XB,2006,Misc,Myelin Media,20000,10000,0,0
1535,1536,"Ni Hao, Kai-lan: New Year's Celebration",DS,2009,Misc,Take-Two Interactive,190000,0,0,10000
1548,1549,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,2004,Misc,Sega,400000,110000,0,20000
1549,1550,Guitar Hero: Aerosmith,Wii,2008,Misc,Activision,1040000,140000,0,100000
1550,1551,Disney Sing It! High School Musical 3: Senior Year,Wii,2008,Misc,Disney Interactive Studios,320000,230000,0,40000
1560,1561,Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1,GBA,2004,Misc,unknown,120000,40000,0,0
1578,1579,The Croods: Prehistoric Party!,3DS,2013,Misc,D3Publisher,10000,20000,0,0
1585,1586,Konami Classics Series: Arcade Hits,DS,2007,Misc,Konami Digital Entertainment,10000,0,20000,0
1591,1592,Dancing With The Stars,PS2,2007,Misc,Activision,80000,60000,0,20000
1595,1596,Rock Band Unplugged,PSP,2009,Misc,MTV Games,240000,150000,0,100000
1611,1612,Ennichi no Tatsujin,Wii,2006,Misc,Namco Bandai Games,0,0,100000,0
1618,1619,Dream Salon,Wii,2009,Misc,Zoo Games,50000,0,0,0
1619,1620,My Word Coach,DS,2007,Misc,Ubisoft,370000,900000,0,180000
1623,1624,Learn Science,DS,2010,Misc,DreamCatcher Interactive,50000,0,0,0
1624,1625,Jinsei Game DS,DS,2006,Misc,Atlus,0,0,20000,0
1628,1629,Junior Brain Trainer 2,DS,2010,Misc,GSP,40000,210000,0,40000
1637,1638,Tamagotchi no KiraKira Omisecchi,DS,2008,Misc,Namco Bandai Games,0,0,220000,0
1642,1643,SingStar Latino,PS3,2009,Misc,Sony Computer Entertainment,110000,0,0,10000
1658,1659,KORG DS-10 Synthesizer Plus,DS,2009,Misc,AQ Interactive,80000,0,20000,10000
1660,1661,Timeshock! Pro Pinball,PS,1998,Misc,Empire Interactive,20000,10000,0,0
1666,1667,Calvin Tucker's Redneck Jamboree,Wii,2008,Misc,Zoo Games,290000,0,0,20000
1671,1672,Sonic PC Collection,PC,2009,Misc,Sega,0,40000,0,10000
1689,1690,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.9,PS3,2016,Misc,Namco Bandai Games,0,0,20000,0
1731,1732,World Series of Poker,XB,2005,Misc,Activision,190000,50000,0,10000
1732,1733,World Championship Poker 2: Featuring Howard Lederer,PS2,2005,Misc,Oxygen Interactive,160000,130000,0,40000
1740,1741,Order Up!,Wii,2008,Misc,Zoo Digital Publishing,190000,10000,0,20000
1741,1742,Bakumatsu Rock: Ultra Soul,PSP,2014,Misc,Marvelous Interactive,0,0,10000,0
1763,1764,Karaoke Revolution Presents American Idol Encore,Wii,2008,Misc,Konami Digital Entertainment,420000,0,0,30000
1772,1773,Monopoly,X360,2008,Misc,Electronic Arts,340000,200000,0,60000
1775,1776,We Dance,Wii,2011,Misc,Nordic Games,0,170000,0,20000
1789,1790,Nicktoons Collection: Game Boy Advance Video Volume 2,GBA,2004,Misc,unknown,160000,60000,0,0
1821,1822,Just Dance 2015,WiiU,2014,Misc,Ubisoft,400000,280000,0,70000
1827,1828,Sonic Mega Collection Plus,XB,2004,Misc,Sega,610000,260000,0,40000
1831,1832,Cabela's Adventure Camp,X360,2011,Misc,Activision,70000,20000,0,10000
1833,1834,Taiko no Tatsujin Wii: Ketteiban,Wii,2011,Misc,Namco Bandai Games,0,0,390000,0
1837,1838,My Amusement Park,DS,2010,Misc,Scholastic Inc.,60000,0,0,0
1840,1841,Trivial Pursuit,PS2,2009,Misc,Electronic Arts,90000,10000,0,170000
1851,1852,Heathcliff! Frantic Foto,DS,2010,Misc,Storm City Games,40000,0,0,0
1852,1853,Rock Band 2,X360,2008,Misc,Electronic Arts,1780000,240000,0,180000
1855,1856,TalkMan (Japan),PSP,2005,Misc,Sony Computer Entertainment,0,0,180000,0
1864,1865,Naxat Soft Reachmania Vol. 1: CR Galaxy Angel,PS2,2008,Misc,Naxat Soft,0,0,10000,0
1873,1874,Pe-Jongju to Manabu Kankokugo DS: Test-Hen,DS,2010,Misc,D3Publisher,0,0,20000,0
1875,1876,Monster High: Ghoul Spirit,DS,2011,Misc,THQ,720000,170000,0,70000
1878,1879,Daito Giken Koushiki Pachi-Slot Simulator Hihouden: Taiyou o Motomeru Monotachi,PS3,2013,Misc,Paon Corporation,0,0,30000,0
1893,1894,BIT.TRIP COMPLETE,Wii,2011,Misc,Rising Star Games,60000,20000,0,10000
1920,1921,Amnesia Later,PSP,2012,Misc,Idea Factory,0,0,50000,0
1926,1927,Jeopardy!,PS,1997,Misc,Hasbro Interactive,390000,270000,0,50000
1932,1933,Danganronpa: Trigger Happy Havoc,PSV,2013,Misc,Nippon Ichi Software,140000,70000,150000,60000
1937,1938,Family Feud: 2012 Edition,X360,2011,Misc,Ubisoft,100000,0,0,10000
1940,1941,Super Monkey Ball Deluxe,XB,2005,Misc,Sega,110000,30000,0,10000
1941,1942,50 Classic Games,DS,2009,Misc,Destineer,520000,0,0,40000
1943,1944,Wantame Music Channel: Doko Demo Style,DS,2007,Misc,Capcom,0,0,130000,0
1956,1957,Vegas Casino,DS,2007,Misc,Neko Entertainment,30000,0,0,0
1961,1962,Nicktoons Collection: Game Boy Advance Video Volume 1,GBA,2004,Misc,unknown,460000,170000,0,10000
1962,1963,Band Hero,X360,2009,Misc,Activision,510000,220000,0,70000
1966,1967,Rock Band Track Pack Volume 1,PS2,2008,Misc,MTV Games,60000,50000,0,20000
1969,1970,Mario Party 3,N64,2000,Misc,Nintendo,720000,160000,1010000,20000
1977,1978,Moxie Girlz,DS,2011,Misc,GameMill Entertainment,70000,0,0,0
2004,2005,Megpoid the Music#,PSP,2013,Misc,Asgard,0,0,30000,0
2005,2006,Nickelodeon Dance,Wii,2011,Misc,Take-Two Interactive,230000,10000,0,20000
2014,2015,Jam With the Band,DS,2008,Misc,Nintendo,0,0,510000,0
2040,2041,Scene It? Box Office Smash,X360,2008,Misc,Microsoft Game Studios,330000,250000,0,70000
2072,2073,Crash Boom Bang!,DS,2006,Misc,Vivendi Games,70000,10000,0,10000
2094,2095,Active Life: Magical Carnival,Wii,2011,Misc,Namco Bandai Games,40000,10000,0,0
2118,2119,Sesame Street: Cookie's Counting Carnival,DS,2010,Misc,Warner Bros. Interactive Entertainment,260000,0,0,20000
2138,2139,Namco Museum Battle Collection (JP sales),PSP,2005,Misc,Sony Computer Entertainment,0,0,20000,0
2151,2152,DJ Hero,X360,2009,Misc,Activision,560000,400000,0,110000
2154,2155,The Idolm@ster 2,PS3,2011,Misc,Namco Bandai Games,0,0,160000,0
2156,2157,Momotarou Dentetsu Tag Match: Yuujou - Doryoku - Shouri no Maki!,PSP,2010,Misc,Hudson Soft,0,0,70000,0
2171,2172,The Price is Right: Decades,Wii,2011,Misc,Ubisoft,120000,0,0,10000
2179,2180,Idol Janshi Suchie-Pai Remix,SAT,1995,Misc,Jaleco,0,0,100000,0
2184,2185,Hasbro Family Game Night 3,Wii,2010,Misc,Electronic Arts,470000,280000,0,70000
2209,2210,Guitar Hero III: Legends of Rock,PS3,2007,Misc,Activision,1400000,540000,20000,300000
2218,2219,Fashion Studio: Paris Collection,DS,2009,Misc,Ubisoft,130000,0,0,10000
2219,2220,Disney Princess: Enchanting Storybooks,DS,2011,Misc,THQ,80000,40000,0,10000
2229,2230,Junior Classic Books & Fairytales,DS,2010,Misc,GSP,60000,10000,0,10000
2242,2243,Ultimate Party Challenge,Wii,2009,Misc,Konami Digital Entertainment,70000,0,0,10000
2244,2245,Starry ? Sky: After Autumn,PSP,2011,Misc,Aqua Plus,0,0,10000,0
2245,2246,Solitaire Overload,DS,2007,Misc,Telegames,390000,0,0,30000
2263,2264,Monopoly,N64,1999,Misc,Hasbro Interactive,170000,40000,0,0
2273,2274,Happy Dance Collection,Wii,2008,Misc,Namco Bandai Games,0,0,10000,0
2286,2287,World Series of Poker: Tournament of Champions 2007 Edition,X360,2006,Misc,Activision,150000,0,0,10000
2295,2296,Hello Kitty Daily,DS,2008,Misc,Nobilis,320000,0,0,30000
2297,2298,ParaParaParadise,PS2,2001,Misc,Konami Digital Entertainment,0,0,30000,0
2308,2309,Buzz! The Ultimate Music Quiz,PS3,2010,Misc,Sony Computer Entertainment,0,250000,0,80000
2315,2316,Karaoke Revolution,PS2,2003,Misc,Konami Digital Entertainment,170000,130000,0,40000
2330,2331,Hasbro Family Game Night 2,Wii,2009,Misc,Electronic Arts,710000,530000,0,130000
2342,2343,Astrology DS,DS,2009,Misc,Deep Silver,30000,0,0,0
2362,2363,Just Dance 4,PS3,2012,Misc,Ubisoft,260000,120000,0,60000
2363,2364,Disney Sing It: Pop Hits,PS3,2009,Misc,Disney Interactive Studios,170000,50000,0,30000
2373,2374,DanceStar Party,PS3,2011,Misc,Sony Computer Entertainment,0,350000,0,100000
2374,2375,Sorry! / Aggravation / Scrabble Junior,GBA,2005,Misc,Zoo Digital Publishing,180000,70000,0,0
2391,2392,Guitar Hero: Smash Hits,PS3,2009,Misc,Activision,200000,110000,0,50000
2398,2399,Bratz Kidz,Wii,2008,Misc,Game Factory,160000,0,0,10000
2409,2410,Nihon Pro Mahjong Kishikai Kanshuu: Pro Ni Naru Mahjong DS,DS,2005,Misc,Success,0,0,40000,0
2417,2418,Face Training,DS,2007,Misc,Nintendo,0,0,190000,0
2428,2429,Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PS4,2016,Misc,Tecmo Koei,0,0,40000,0
2430,2431,Pachi-Slot Aruze Oukoku 3,PS,2000,Misc,Aruze Corp,0,0,100000,10000
2442,2443,Freddi Fish: ABC under the sea,DS,2008,Misc,Atari,130000,0,0,10000
2449,2450,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,GBA,2003,Misc,Konami Digital Entertainment,680000,250000,0,20000
2457,2458,Battle vs. Chess,X360,2011,Misc,TopWare Interactive,0,30000,0,0
2459,2460,The Beatles: Rock Band,PS3,2009,Misc,MTV Games,670000,300000,0,150000
2468,2469,Super Monkey Ball Deluxe,PS2,2005,Misc,Sega,120000,90000,0,30000
2477,2478,City Builder,Wii,2010,Misc,Virtual Play Games,40000,0,0,0
2479,2480,Namco Museum,PS2,2001,Misc,Namco Bandai Games,1730000,70000,0,20000
2496,2497,EyeToy: Groove,PS2,2003,Misc,Sony Computer Entertainment,90000,70000,0,20000
2500,2501,Peppa Pig: Fun and Games,Wii,2010,Misc,Ubisoft,0,120000,0,20000
2510,2511,Peppa Pig: The Game,DS,2008,Misc,Pinnacle,0,820000,0,60000
2554,2555,Game Party,Wii,2007,Misc,Midway Games,1500000,780000,0,240000
2555,2556,Rock Band Country Track Pack 2,Wii,2011,Misc,MTV Games,90000,0,0,10000
2575,2576,World Series of Poker 2008: Battle for the Bracelets,PSP,2007,Misc,Activision,20000,0,0,0
2579,2580,Michael Jackson: The Experience 3D,3DS,2011,Misc,Ubisoft,130000,30000,0,10000
2582,2583,Sumikko Gurashi: Mura o Tsukurundesu,3DS,2016,Misc,Nippon Columbia,0,0,60000,0
2593,2594,Pac-Man Pinball Advance,GBA,2005,Misc,Zoo Digital Publishing,80000,30000,0,0
2604,2605,Squinkies,DS,2011,Misc,Activision,270000,20000,0,20000
2613,2614,SingStar Take That,PS2,2009,Misc,Sony Computer Entertainment,0,60000,0,390000
2614,2615,Yu-Gi-Oh! GX: Spirit Caller (Japan Sales),DS,2006,Misc,Konami Digital Entertainment,0,0,50000,0
2632,2633,Sing Party,WiiU,2012,Misc,Nintendo,130000,120000,0,20000
2665,2666,Rock Revolution,DS,2008,Misc,Konami Digital Entertainment,100000,0,0,10000
2667,2668,Guitar Rock Tour,DS,2007,Misc,Gameloft,100000,0,0,10000
2674,2675,Space Venus starring Morning Musume,PS2,2001,Misc,Sony Music Entertainment,0,0,140000,0
2694,2695,DS Kageyama Method: Dennou Hanpuku - Tadashii Kanji Kakitori-Kun,DS,2007,Misc,Shogakukan,0,0,100000,0
2700,2701,Trivial Pursuit,Wii,2009,Misc,Electronic Arts,210000,310000,0,70000
2711,2712,Scene It? Bright Lights! Big Screen!,X360,2009,Misc,Warner Bros. Interactive Entertainment,120000,0,0,10000
2713,2714,Pokemon Pinball,GB,1999,Misc,Nintendo,3020000,1120000,1010000,160000
2741,2742,U-Sing: Girls Night,Wii,2010,Misc,Mindscape,0,210000,0,40000
2743,2744,Karaoke Revolution Glee,Wii,2010,Misc,Konami Digital Entertainment,520000,250000,0,70000
2772,2773,"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 12: CR Shinseiki Evangelion - Shito, Futatabi",PS2,2008,Misc,D3Publisher,0,0,120000,0
2774,2775,Ben 10 Triple Pack,DS,2011,Misc,D3Publisher,130000,120000,0,30000
2810,2811,Motto! Stitch! DS Rhythm de Rakugaki Daisakusen,DS,2010,Misc,Disney Interactive Studios,0,0,80000,0
2817,2818,WarioWare D.I.Y.,DS,2009,Misc,Nintendo,180000,190000,200000,40000
2830,2831,Arcade Party Pak,PS,1999,Misc,Midway Games,60000,40000,0,10000
2878,2879,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 13: Shinseiki Evangelion - Yakusoku no Toki,PS2,2008,Misc,D3Publisher,0,0,40000,0
2892,2893,Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,3190000,920000,10000,420000
2900,2901,Trivial Pursuit,PS3,2009,Misc,Electronic Arts,120000,120000,0,50000
2916,2917,You Don't Know Jack,PS,1999,Misc,Vivendi Games,220000,150000,0,30000
2943,2944,Bomberman Land,PSP,2007,Misc,Hudson Entertainment,60000,0,0,10000
2966,2967,Board Game Classics,GBA,2005,Misc,"Destination Software, Inc",60000,20000,0,0
2971,2972,Namco Museum Vol.3,PS,1996,Misc,Sony Computer Entertainment,2280000,1550000,160000,60000
2978,2979,Jeopardy!,DS,2010,Misc,THQ,180000,0,0,10000
2981,2982,Super Monkey Ball: Banana Blitz,Wii,2006,Misc,Sega,1070000,920000,40000,240000
2983,2984,Technic Beat,PS2,2002,Misc,Arika,10000,10000,0,0
2992,2993,Chocolatier,DS,2010,Misc,Zoo Games,60000,0,0,0
2995,2996,Buzz! The BIG Quiz,PS2,2006,Misc,Sony Computer Entertainment,0,1100000,0,390000
3006,3007,Rock Band: Metal Track Pack,PS3,2009,Misc,MTV Games,110000,0,0,10000
3012,3013,Ultimate Band,Wii,2008,Misc,Disney Interactive Studios,200000,30000,0,20000
3014,3015,Wii Play,Wii,2006,Misc,Nintendo,14030000,9200000,2930000,2850000
3016,3017,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.7,PS3,2015,Misc,Namco Bandai Games,0,0,20000,0
3051,3052,South Park: Chef's Luv Shack,PS,1998,Misc,Acclaim Entertainment,170000,120000,0,20000
3055,3056,Guitar Hero: Metallica,Wii,2009,Misc,Activision,410000,430000,0,100000
3062,3063,uDraw Studio: Instant Artist,X360,2011,Misc,THQ,10000,10000,0,0
3064,3065,Quiz Present Variety Q-Sama!! DS: Pressure Study x Atama Gai Kunaru Drill SP,DS,2011,Misc,Plenty,0,0,20000,0
3068,3069,Mind Your Language: Learn English! / French! / German! / Spanish! /Japanese!,DS,2009,Misc,PlayV,0,20000,0,0
3070,3071,Zettai Meikyuu Grimm: Nanatsu no Kagi to Rakuen no Otome,PSP,2010,Misc,Karin Entertainment,0,0,20000,0
3085,3086,SingStar Abba,PS3,2008,Misc,Sony Computer Entertainment,270000,510000,0,170000
3100,3101,Guitar Hero: World Tour,PS2,2008,Misc,Activision,1000000,30000,0,770000
3102,3103,Pretty Cure All Stars Everyone Gather ? Let's Dance!,Wii,2013,Misc,Namco Bandai Games,0,0,50000,0
3106,3107,Pinkalicious,DS,2011,Misc,GameMill Entertainment,260000,0,0,20000
3112,3113,Thomas & Friends: Hero of the Rails,Wii,2010,Misc,Unknown,0,20000,0,0
3130,3131,Hana to Ikimo no Rittai Zukan,3DS,2011,Misc,Nintendo,0,0,40000,0
3132,3133,Gardening Guide: How to get Green Fingers,DS,2009,Misc,Mindscape,0,10000,0,0
3147,3148,MySims Collection,Wii,2010,Misc,Electronic Arts,130000,0,0,10000
3175,3176,Guitar Hero: Aerosmith,PS3,2008,Misc,Activision,730000,150000,0,110000
3181,3182,Go Vacation,Wii,2011,Misc,Namco Bandai Games,480000,680000,330000,160000
3192,3193,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol.10: CR Shinseiki Evangelion: Kiseki no Kachi,PS2,2007,Misc,D3Publisher,0,0,120000,0
3205,3206,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 1: CR Shinseiki Evangelion,PS2,2005,Misc,D3Publisher,0,0,130000,0
3221,3222,The Cheetah Girls: Passport to Stardom,DS,2008,Misc,Disney Interactive Studios,180000,0,0,10000
3239,3240,The X-Factor,Wii,2010,Misc,Deep Silver,0,290000,0,40000
3256,3257,Danganronpa 2: Goodbye Despair,PSV,2014,Misc,Nippon Ichi Software,130000,70000,0,60000
3287,3288,Flow: Urban Dance Uprising,PS2,2005,Misc,Ubisoft,20000,10000,0,0
3317,3318,Walt Disney's The Jungle Book: Rhythm N'Groove,PS2,2003,Misc,Disney Interactive Studios,120000,100000,0,30000
3323,3324,Dancing With The Stars,Wii,2007,Misc,Activision,220000,0,0,20000
3332,3333,Itadaki Street 2: Neon Sign wa Bara Iro ni,SNES,1994,Misc,Enix Corporation,0,0,290000,0
3340,3341,SingStar Vol. 3,PS3,2008,Misc,Sony Computer Entertainment,0,110000,0,30000
3348,3349,Imagine: Artist,DS,2009,Misc,Ubisoft,50000,0,0,0
3351,3352,Fushigi? Kagaku: Nazotoki Quiz Training - NazoTore,DS,2008,Misc,Benesse,0,0,50000,0
3359,3360,Oshare Majo Love and Berry: DS Collection,DS,2006,Misc,Sega,0,0,1010000,0
3383,3384,Viva Pinata: Party Animals,X360,2007,Misc,Microsoft Game Studios,190000,30000,0,20000
3390,3391,Taiko no Tatsujin DS: Dororon! Youkai Daikessen!!,DS,2010,Misc,Namco Bandai Games,0,0,420000,0
3391,3392,Big Family Games,Wii,2009,Misc,THQ,0,220000,0,20000
3396,3397,Alvin and the Chipmunks: The Squeakquel,DS,2009,Misc,Majesco Entertainment,280000,0,0,20000
3421,3422,Bratz: Rock Angelz,GBA,2004,Misc,THQ,390000,140000,0,10000
3448,3449,Duel Masters: Shadow of the Code,GBA,2004,Misc,Atari,10000,0,0,0
3468,3469,Guitar Hero 5,Wii,2009,Misc,Activision,940000,490000,0,150000
3469,3470,DS Bimoji Training,DS,2008,Misc,Nintendo,0,0,560000,0
3481,3482,Dance Party: Pop Hits,Wii,2009,Misc,Nordic Games,0,360000,0,20000
3495,3496,thinkSMART: Chess for Kids,DS,2011,Misc,Mentor Interactive,10000,0,0,0
3498,3499,Exhibition,XB,2001,Misc,Microsoft Game Studios,190000,50000,0,10000
3501,3502,The Idolmaster: Gravure For You! Vol. 3,PS3,2011,Misc,Namco Bandai Games,0,0,80000,0
3542,3543,World Poker Tour,GBA,2005,Misc,Take-Two Interactive,10000,0,0,0
3563,3564,Capcom Classics Collection Reloaded,PSP,2006,Misc,Capcom,260000,0,30000,30000
3573,3574,Family GameShow,Wii,2009,Misc,Zushi Games,80000,0,0,10000
3581,3582,Mega Man Battle Chip Challenge,GBA,2003,Misc,Capcom,80000,30000,0,0
3587,3588,Geten no Hana: Yume Akari,PSP,2014,Misc,Tecmo Koei,0,0,10000,0
3601,3602,Chessmaster: The Art of Learning,PSP,2008,Misc,Ubisoft,110000,0,0,10000
3614,3615,Let's Draw!,DS,2008,Misc,Ubisoft,240000,230000,0,60000
3623,3624,The Eye of Judgment,PS3,2007,Misc,Sony Computer Entertainment,280000,0,20000,30000
3629,3630,NatGeo Challenge! Wild Life,X360,2010,Misc,Black Bean Games,0,20000,0,0
3635,3636,Marvel Trading Card Game,DS,2007,Misc,Konami Digital Entertainment,110000,0,0,10000
3657,3658,World Series of Poker: Tournament of Champions 2007 Edition,Wii,2006,Misc,Activision,40000,0,0,0
3658,3659,Starry ? Sky: In Summer,PSP,2010,Misc,Asgard,0,0,60000,0
3674,3675,The Ultimate Battle of the Sexes,Wii,2010,Misc,DTP Entertainment,10000,10000,0,0
